Cargo,Empresa,Industria,Región,Modalidad,Seniority,Salario,Skills requeridos,Exp. mínima,Fuente,Notas
Data Analyst,Equifax,Tecnología / Datos,"Providencia, Rm",Presencial,Mid,,"SQL, Python, BigQuery (GCP), Vertex (GCP), Looker Studio, API, RPA (UiPath deseable), Jira, Scrum",3.0,LinkedIn,Pide 3 años exp.
Analista De Inteligencia De Datos,IKEA (Grupo Falabella),Retail / Logística,"Las Condes, Rm",Híbrido,Mid,,"SQL (intermedio-avanzado, excluyente), GCP / Azure / AWS, Power BI o BI (no especificado), Inglés intermedio",2.0,LinkedIn,Pide 2 años en BI y Fulfillment. +100 solicitudes.
Data Intelligence Analyst,Principal Chile,Servicios Financieros,"Gran Santiago, Rm",Híbrido,Mid,,"SQL Server (intermedio-avanzado), Power BI (intermedio-avanzado), Excel, Inglés intermedio-avanzado; deseable: Azure/AWS, Python, Snowflake",0.0,LinkedIn,"Acepta 0 exp. Viernes hasta 14:00, 39.5 hrs semanales."
Analista De Datos (Hr),Grupo Falabella,Retail,"Gran Santiago, Rm",Híbrido,Junior,,"SQL (deseable), Python (deseable), Power BI (deseable); estadística y análisis de datos",1.0,LinkedIn,"Enfocado en datos de RRHH. Skills técnicos solo deseables, no excluyentes."
Data Analyst,Groupe SII,Consultoría Ti,"Las Condes, Rm",Híbrido,Senior,,"SQL avanzado (excluyente), Tableau (2+ años), ETL/pipelines (3+ años), modelado de datos, AWS/GCP",3.0,LinkedIn,Muy senior. SQL y Tableau excluyentes con años específicos.
Analista De Datos Junior / Monitoreo,Tata Consultancy Services,Consultoría Ti,"Gran Santiago, Rm",Híbrido,Junior,,"SQL (consultas), Excel intermedio-avanzado, Python, Power BI; deseable: banca/fraudes",,LinkedIn,Turnos rotativos L-D 08:45-21:00. Ya postulaste. Sector banca/fraude deseable.
Data Analyst E-Commerce,Tigabytes CL,Consultoría / Google Cloud,"Las Condes, Rm",Híbrido,Senior,,"Power BI avanzado + DAX (excluyente), SQL, GCP/BigQuery (plus), Scrum; ecosistema e-commerce",3.0,LinkedIn,Proyecto 12 meses. Power BI Expert excluyente. Muy senior.
Data Analyst,Mallplaza (Grupo Falabella),Retail / Mall,"Huechuraba, Rm",Presencial,Mid,,"Excel avanzado, Power BI intermedio, Tableau intermedio; deseable: SQL, IA, Inglés",1.0,LinkedIn,SQL y BI solo deseables. Foco en CX y retail regional. Proceso vía Aira.
Analista De Bi,Empresa Confidencial,Desconocida,"Gran Santiago, Rm",Híbrido,Mid,,"Power BI avanzado (excluyente), SQL avanzado (excluyente), DAX y M, automatización con IA (excluyente); deseable: Inglés, Salesforce/Dynamics/Rex+",1.0,LinkedIn,Power BI + SQL + IA excluyentes. DAX requerido. Foco en RRHH/clientes.
Analista De Ciencia De Datos,Step Therapy,Salud,"Ñuñoa, Rm",Presencial,Junior,,"Python, SQL, Power BI / Tableau, estadística aplicada, ML (básico)",,LinkedIn,Sin años de exp. requeridos. ML y salud. Presencial Ñuñoa 08:45-18:00.
Data Engineer,Equifax,Tecnología / Datos,"Providencia, Rm",Presencial,Senior,,"SQL, BigQuery, Python (3+ años c/u), Looker Studio (4-5+ años), GCP/AWS/Azure (deseable)",3.0,LinkedIn,"Muy senior. Rol de ingeniería, no analítica pura."
Data Scientist,Banco Bci,Banca,"Las Condes, Rm",Remoto,Mid,,"Python/R avanzado (NumPy, Pandas, Scikit-learn), SQL/Teradata, ML (regresión, Random Forest, etc.), Airflow, Power BI/Qlik/Tableau (nociones)",2.0,LinkedIn,ML y estadística fuertes. Power BI solo nociones. Banca con stack técnico exigente.
Analista Bi,Apiux Tech,Consultoría Ti,"Gran Santiago, Rm",Híbrido,Mid,,"Power BI Desktop y Service (experto), DAX avanzado, modelado de datos, BigQuery + Power BI en tiempo real, Inglés intermedio",,LinkedIn,Solo 10 solicitudes — baja competencia. DAX y BigQuery excluyentes.
Business Analyst,Grupo Falabella,Retail / Ecommerce,"Gran Santiago, Rm",Híbrido,Mid,,"SQL, Looker (idealmente), Python (deseable), nube (deseable), Inglés (deseable)",2.0,LinkedIn,"Foco ecommerce/retail. Looker aparece como principal herramienta BI, no Power BI."
Analista De Inteligencia Comercial,Tottus (Grupo Falabella),Retail / Supermercado,"Gran Santiago, Rm",Remoto,Mid,,"SQL (excluyente), Power BI / Looker / Tableau, BigQuery / SQL Server, estadística aplicada",1.0,LinkedIn,100% remoto. SQL excluyente. Foco en análisis comercial/retail. Proceso vía Aira.
Bi Engineer,Cencosud Media,Retail / Media,"Las Condes, Rm",No especificado,Mid,,"SQL intermedio, Power BI intermedio, Python básico, modelamiento de datos, ETL/ELT; deseable: Databricks, Spark, Microsoft Fabric, Inglés",1.0,LinkedIn,Solo 1 año exp. SQL y Power BI intermedios — accesible. Databricks deseable no excluyente.
Crm Business Analyst,Itaú Chile,Banca,"Gran Santiago, Rm",Híbrido,Mid,,"SQL, SSIS o AWS Glue, Python (deseable Athena), AWS (deseable)",,LinkedIn,Sin años exp. explícitos. Foco CRM/banca. Power BI no mencionado. N°1 GPTW 2025.
"Analista De Datos (Fraude, Riesgo Y Auditoría B2B)",Tata Consultancy Services,Consultoría Ti / Telecomunicaciones,"Gran Santiago, Rm",Presencial,Mid,,"Excel avanzado (excluyente), Power BI, SQL; deseable: Python, ETL",2.0,LinkedIn,46 solicitudes. Foco fraude/auditoría. Excel excluyente. Postular a p.herrera@tcs.com
